"type","id","latitude","longitude","name","description","image_url","date_added"
"gym","47cd8d3c571a41adb1760ca2fa95eba4.16","52.626069","1.299443","In Remembrance","Dedicated to the memory of the employees who gave their lives 1914-1918, 1939-1945 and Korean wars","http://lh6.ggpht.com/8k74DLndcYdimkbAfQX5JzETcrVFf8bbNZ1nrrot5XoazuPT-QjTT8F2hqVTVmJu_LqIvh72co8FWdKGvZbYLQ","2018-04-11"
"gym","49c63c3551414defbefce8941f285e6c.16","52.635206","1.354049","Thorpe Recreation Bowling Club","","http://lh5.ggpht.com/-SIAZpWZ4Q03u0Y0xdZvYcMtJ43cpsANwqLXT01ODHZt9pY3Cb3PNqb-35OC63SOh6SFLuLuhiBRkD0Utm0F","2018-04-11"
"gym","4a04c13646c34c6ab464ea851856c7f3.16","52.605011","1.241806","Thetford Milestone","","http://lh3.ggpht.com/gnNTyesJLXrCpDcKq3Xb08t2dYR8V1Tg3bKlgB4kAzOKy9eB3WD6VdkQW42WF7xj_q3siXuiFUkeTr5K01ce","2018-04-11"
"gym","4b5c2bffdf014f51bd47d970486e217e.16","52.648975","1.251101","Hellesdon","Village sign","http://lh5.ggpht.com/ab1R7ESAn4CK0tlfJEMb4QE5dpNUIBuk58WdhIEZxZdXcUdIa4qMQ0-s8Gr56pqsIxAoldOgm7_qQCV99i4eRg","2018-04-11"
"gym","4b85988e758c4a97bf131b7bf3172531.16","52.641011","1.235998","The Cherry Tree","Pub","http://lh3.googleusercontent.com/yjO-jYZlRpGZBHtgiDUymvC_bKdhk7gCDo-C2QF1yh8ooAuS7K7f4toyoDbmY3XZYwhiGKslslEshrfcIbE","2018-04-11"
"gym","4b97abd92c1b46a5aa8cf8dbb91120a2.16","52.57037","1.282976","Atlas Statue at Dunston Hall","","http://lh3.ggpht.com/rLJvYmkIm8dCe8cHx-9aUgkCMbBdv0-KlP6hoqxzeAJKRWQGsIhyPbAefnny3re3827-LnEQ1Vqj88cuFGn0","2018-04-11"
"gym","4bd4d6d36f1d47ab8cc2861d086ace32.16","52.692304","1.246287","Horsford","Village sign art","http://lh3.googleusercontent.com/zHB19hKNa0n5vk4lNWXDQU0q3kSCRWjlb_EdoncHcJZV16Hk7za0z93loNWxMjCOvm-pkdiKMu1x-OFAS0hksA","2018-04-11"
"gym","4ec056ecffcf420d9910d298f05f50f1.16","52.611231","1.25695","Cringleford War Memorial","","http://lh4.ggpht.com/crhM_8XFjEV6Opw9WOHzgygHfzxlpwFjtc6mAkV03_aZ5LAj-OkylUFFbe7TfFXxWXupoO5Fz2YRb0VEoSj2","2018-04-11"
"gym","4ec2b7dd50154400b811ec04a762c018.16","52.624717","1.289087","Chapel Field Road Methodist Church","1880","http://lh3.ggpht.com/w8d3-WoeOgqSCTvoQuG_QJeI0gNF7G1Er7qYFM0jLi47LnhzUUQqtftbEOYK3uyI9Y-4D59NxrdPwQd5sJ1j","2018-04-11"
"gym","4f6f0ccf79524d2eae277893836bb5cf.16","52.599293","1.181417","Hethersett Library","","http://lh4.ggpht.com/14k_zlVEFly-yKTcRdszJuRx8VYi9FeZGzMWV8VsNe8uB13MOApu-cHKGmqFtYXVnpK5SIq99WKc9sGabMaE","2018-04-11"
"gym","5019483722a447f18a9dfbe50a48b84f.11","52.631571","1.301424","Cathedral South Entrance","","http://lh4.ggpht.com/4YxzulLCWjOYcX_LymGZl-0TEgusqUuz-VubWa8DG5AiAAPPpOa7xiTpxNThgUhFJkWdD39N3Fynuz8yNoo8","2018-04-11"
"gym","501be2f80fa94e42a68b9cb63c95773d.16","52.624513","1.302462","The Waterfront","","http://lh5.ggpht.com/Bp-bTyN0AbH-FfA-gqUn6WMPy7vkwYqavMEQOXDu0Bal5CfMPomKnQ5z3AEPT_sxRTy_NjjitA9k4l3EXag","2018-04-11"
"gym","525a60c1df9245108d1add0ce7068d0b.16","52.651527","1.309998","The Brickmakers","Pub","http://lh3.googleusercontent.com/4YJWrz-R5lnGhkXpu2ZUKblyv2o_xY1tDkJ5AOUCG2FsWpVhbGZpqd6C4O7dfQGNXf4PxJM_fgXLQD8oyN7U","2018-04-11"
"gym","5656e02c4b634947811ca760674e2254.16","52.616597","1.195257","Little Melton","Village sign","http://lh4.ggpht.com/LWb0u9Pvp6nF1NiREBFYvkKYtWKowNfZLc2cFYkB56N0U0WB_1w-R54XH3vz8QY_v6_p4-kyey07LXZc0_8","2018-04-11"
"gym","57d30d505c664f20890e8f2cb1cd5d57.16","52.621773","1.234847","Norwich Medical School","","http://lh4.ggpht.com/7wCSNzUJngCv8KXFA2dxcJE3YJSCbmp-6NfXfI5mKhAD6uWBbr1ohAUpDzlRczuKSUyxX06faw79oXlGrASo","2018-04-11"
"gym","59162d5d83334d19b112cc2d1fdd8bc4.11","52.620845","1.234898","Two Piece Reclining Figure at the University of East Anglia","","http://lh3.ggpht.com/w2oo3Ya6uZJ1UseWTyvzACyXO6FMFV7Hgc00WC4MXyQ9CXsk90x6Qu1VAXek0062QY-74Oq-cvm_N20FNNpFjpSdUssbzlAN9hFPBcbCVPEd7zzO","2018-04-11"
"gym","591eee1315f641dbac56911d56176a33.16","52.56106","1.238918","Mulbarton Skate Park","","http://lh3.googleusercontent.com/XNkBscOH7__-LSSRkX9l_mSwG52bJC0QUsZeD_kZcwUbRDtIk9HlPBZPTAd__cWIwqowQAnwHovMLxPDxRKo","2018-04-11"
"gym","59d9c92798f8410abc985233583650cb.16","52.620793","1.351126","Dog Stump","A dog carved from a tree stump","http://lh3.googleusercontent.com/3KgRzq5h8hWUeyqrSFr45v5EuVe6yn3BcfTD2j6p1mdlbYehUy5msmVizDNJe48fwKg5qOtIXqB_Z67b8Rc","2018-04-11"
"gym","5a5687504bb04ad88f274d111334184f.16","52.699522","1.243101","Horsford Village Hall","Village hall opened in 1992","http://lh4.ggpht.com/c85CjUDAH2FhbGs_5QGAInipOdBDkupxLCaJT249CiyJqGnWkaoaFZsEByFId1Q-kzvBiqtXwYHtrqT7o5I","2018-04-11"
"gym","5baf4aef1f754d3193b47161bc6524ed.16","52.643467","1.300505","The Fat Cat Brewery Tap Pub","One of the finest independent ale Pubs around.","http://lh3.googleusercontent.com/4rvZfVFJ7F77UCWsnHlnjxzd0ArHsTXqhbm7xArCgB3F6yLFFqwZ7T684y1xSloJnWT11ROV6g6o_QZMtF7Q-g","2018-04-11"
"gym","5d46dcacaccd4e54bd1bf445194795c2.16","52.582419","1.293286","Caistor Church","","http://lh3.googleusercontent.com/03S1nsUdhbDkWpIL2m3oDV_4-LKNxVlLS3TkoYFjOduy_tvD6SbgDN2sRz6ekp1GMjbQ6y8a2eGTfESB5iOIQQ","2018-04-11"
"gym","60cb1a9ac1044fff935284cc5113b311.16","52.628159","1.362987","The Griffin","Pub","http://lh4.ggpht.com/pwFD1f7wvGFwwTxCGnpADmX1tle_0jAAg3lbYoab9kwJNXVl0g3MfdYmR-0zdXgDDQmcF3p6R3GbN9-vEKs0","2018-04-11"
